state,abbr,electors,partisan_lean,partisan_lean_se,d_2pv_polls,d_2pv_polls_se,d_2pv_fund,d_2pv_fund_se,d_2pv_final,d_pv,r_pv,category,d_electors,r_electors
Alabama,AL,9,-12.637453544812274,4.038050435142754,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,39.408284265214846,39.408284265214846,60.591715734785154,Strong R,277,261
Alaska,AK,3,-6.859600986850966,4.028534182096367,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,45.186136823176156,45.186136823176156,54.813863176823844,Lean R,277,261
Arizona,AZ,11,-2.3688076441787436,4.034258705930102,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,49.676930165848376,49.676930165848376,50.323069834151624,Lean R,277,261
Arkansas,AR,6,-13.302989489090026,4.038418255862109,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,38.742748320937096,38.742748320937096,61.257251679062904,Strong R,277,261
California,CA,54,12.564625713461558,4.508347410732554,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,64.61036352348867,64.61036352348867,35.38963647651133,Strong D,277,261
Colorado,CO,10,2.790175678497903,4.026947028596133,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,54.83591348852502,54.83591348852502,45.16408651147498,Lean D,277,261
Connecticut,CT,7,5.796658654927072,4.0299018686914145,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,57.84239646495419,57.84239646495419,42.15760353504581,Likely D,277,261
Delaware,DE,3,5.167504387931933,4.288782647007549,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,57.213242197959055,57.213242197959055,42.786757802040945,Likely D,277,261
District Of Columbia,DC,3,35.04039876247555,4.14728401439935,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,87.08613657250267,87.08613657250267,12.913863427497333,Strong D,277,261
Florida,FL,30,-3.2321934628466242,4.093374483023806,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,48.813544347180496,48.813544347180496,51.186455652819504,Lean R,277,261
Georgia,GA,16,-2.5434455214844323,4.037219907362312,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,49.50229228854269,49.50229228854269,50.49770771145731,Lean R,277,261
Hawaii,HI,4,11.3157101708466,4.042311911205601,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,63.36144798087372,63.36144798087372,36.63855201912628,Strong D,277,261
Idaho,ID,4,-15.33985637585596,4.0445108326642565,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,36.70588143417116,36.70588143417116,63.29411856582884,Strong R,277,261
Illinois,IL,19,5.518815511941918,4.027646396766774,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,57.564553321969036,57.564553321969036,42.435446678030964,Likely D,277,261
Indiana,IN,11,-8.913412485144505,4.032912459816283,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,43.132325324882615,43.132325324882615,56.867674675117385,Likely R,277,261
Iowa,IA,6,-5.335346401787916,4.030457389534439,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,46.710391408239204,46.710391408239204,53.289608591760796,Lean R,277,261
Kansas,KS,6,-8.825473482143984,4.0308792503841335,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,43.220264327883136,43.220264327883136,56.779735672116864,Likely R,277,261
Kentucky,KY,8,-13.162093911026545,4.040835817675795,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,38.883643899000575,38.883643899000575,61.116356100999425,Strong R,277,261
Louisiana,LA,8,-9.60318936339258,4.031062976961664,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,42.44254844663454,42.44254844663454,57.55745155336546,Likely R,277,261
Maine,ME,2,1.2744621390284923,4.0297912054727485,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,53.32019994905561,53.32019994905561,46.67980005094439,Lean D,277,261
Maine_d2,ME_d2,1,-0.3332698219878152,4.052089116978307,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,51.71246798803931,51.71246798803931,48.28753201196069,Lean D,277,261
Maryland,MD,10,11.395158349176825,4.039248583254862,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,63.440896159203945,63.440896159203945,36.559103840796055,Strong D,277,261
Massachusetts,MA,11,11.622962616891012,4.04118644842997,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,63.668700426918136,63.668700426918136,36.331299573081864,Strong D,277,261
Michigan,MI,15,-1.034203334937866,4.04523905300252,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,51.011534475089256,51.011534475089256,48.988465524910744,Lean D,277,261
Minnesota,MN,10,0.7085952040233346,4.053451038191029,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,52.75433301405045,52.75433301405045,47.24566698594955,Lean D,277,261
Mississippi,MS,6,-8.720047159679474,4.030670379874602,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,43.325690650347646,43.325690650347646,56.674309349652354,Likely R,277,261
Missouri,MO,10,-8.637061534195212,4.0326646184968755,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,43.40867627583191,43.40867627583191,56.59132372416809,Likely R,277,261
Montana,MT,4,-9.304962104485078,4.033606423263059,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,42.74077570554204,42.74077570554204,57.25922429445796,Likely R,277,261
Nebraska,NE,2,-10.73976652273645,4.03588291141578,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,41.305971287290674,41.305971287290674,58.694028712709326,Likely R,277,261
Nebraska_d2,NE_d2,1,-0.3421674479012951,4.027587479148932,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,51.703570362125824,51.703570362125824,48.296429637874176,Lean D,277,261
Nevada,NV,6,-0.9223325419615894,4.044597940566198,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,51.12340526806553,51.12340526806553,48.87659473193447,Lean D,277,261
New Hampshire,NH,4,0.698794071848229,4.040941576483058,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,52.744531881875346,52.744531881875346,47.255468118124654,Lean D,277,261
New Jersey,NJ,14,4.709522398414882,4.027352944160439,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,56.755260208442,56.755260208442,43.244739791558,Likely D,277,261
New Mexico,NM,5,2.599512448237799,4.024949334929373,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,54.645250258264916,54.645250258264916,45.354749741735084,Lean D,277,261
New York,NY,28,8.426924017660486,4.153763565777045,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,60.4726618276876,60.4726618276876,39.5273381723124,Strong D,277,261
North Carolina,NC,16,-2.7485610607888957,4.038112067814467,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,49.297176749238226,49.297176749238226,50.702823250761774,Lean R,277,261
North Dakota,ND,3,-16.481010702354748,4.055908786458504,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,35.56472710767237,35.56472710767237,64.43527289232763,Strong R,277,261
Ohio,OH,17,-5.882793843199817,4.240912804615472,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,46.1629439668273,46.1629439668273,53.8370560331727,Lean R,277,261
Oklahoma,OK,7,-16.189211833633944,4.047227837556055,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,35.85652597639317,35.85652597639317,64.14347402360683,Strong R,277,261
Oregon,OR,8,4.511661895231666,4.026794946951195,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,56.55739970525879,56.55739970525879,43.44260029474121,Likely D,277,261
Pennsylvania,PA,19,-1.503935249801897,4.029220525260612,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,50.54180256022522,50.54180256022522,49.45819743977478,Lean D,277,261
Rhode Island,RI,4,6.346223353481701,4.033138764788033,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,58.391961163508824,58.391961163508824,41.608038836491176,Likely D,277,261
South Carolina,SC,9,-6.947655143179629,4.028161744818355,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,45.09808266684749,45.09808266684749,54.90191733315251,Lean R,277,261
South Dakota,SD,3,-13.373003314832062,4.0439088986874845,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,38.67273449519506,38.67273449519506,61.32726550480494,Strong R,277,261
Tennessee,TN,11,-11.847194327661544,4.036712554357897,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,40.19854348236558,40.19854348236558,59.80145651763442,Likely R,277,261
Texas,TX,40,-5.187137375263241,4.1788280937619025,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,46.85860043476388,46.85860043476388,53.14139956523612,Lean R,277,261
Utah,UT,6,-10.88928318344452,4.065557305322841,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,41.1564546265826,41.1564546265826,58.8435453734174,Likely R,277,261
Vermont,VT,3,12.404879058184546,4.0435498870168995,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,64.45061686821167,64.45061686821167,35.54938313178833,Strong D,277,261
Virginia,VA,13,2.068662243357216,4.068144329827694,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,54.11440005338434,54.11440005338434,45.88559994661566,Lean D,277,261
Washington,WA,12,6.124703378724865,4.028897718047813,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,58.17044118875199,58.17044118875199,41.82955881124801,Likely D,277,261
West Virginia,WV,4,-18.525426709418213,4.06073885386628,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,33.52031110060891,33.52031110060891,66.47968889939109,Strong R,277,261
Wisconsin,WI,10,-1.5437045175166937,4.033469968106811,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,50.502033292510426,50.502033292510426,49.497966707489574,Lean D,277,261
Wyoming,WY,3,-20.964866525116967,4.066386208298396,52.04573781002712,6.3694267063521615,49.91771688876752,4.097782837992265,31.080871284910152,31.080871284910152,68.91912871508984,Strong R,277,261
